Ticker;Date;Field Name;Value
AAPL;04-01-21;Close Price;129,410004
AAPL;05-01-21;Close Price;131,009995
AAPL;06-01-21;Close Price;126,599998
AAPL;07-01-21;Close Price;130,919998
AAPL;08-01-21;Close Price;132,050003
AAPL;11-01-21;Close Price;128,979996
AAPL;12-01-21;Close Price;128,800003
AAPL;13-01-21;Close Price;130,889999
AAPL;14-01-21;Close Price;128,910004
AAPL;15-01-21;Close Price;127,139999
AAPL;19-01-21;Close Price;127,830002
AAPL;20-01-21;Close Price;132,029999
AAPL;21-01-21;Close Price;136,869995
AAPL;22-01-21;Close Price;139,070007
AAPL;25-01-21;Close Price;142,919998
AAPL;26-01-21;Close Price;143,160004
AAPL;27-01-21;Close Price;142,059998
AAPL;28-01-21;Close Price;137,089996
AAPL;29-01-21;Close Price;131,960007
AAPL;01-02-21;Close Price;134,139999
AAPL;02-02-21;Close Price;134,990005
AAPL;03-02-21;Close Price;133,940002
AAPL;04-02-21;Close Price;137,389999
AAPL;05-02-21;Close Price;136,759995
AAPL;08-02-21;Close Price;136,910004
AAPL;09-02-21;Close Price;136,009995
AAPL;10-02-21;Close Price;135,389999
AAPL;11-02-21;Close Price;135,130005
AAPL;12-02-21;Close Price;135,369995
AAPL;16-02-21;Close Price;133,190002
AAPL;17-02-21;Close Price;130,839996
AAPL;18-02-21;Close Price;129,710007
AAPL;19-02-21;Close Price;129,869995
AAPL;22-02-21;Close Price;126
AAPL;23-02-21;Close Price;125,860001
AAPL;24-02-21;Close Price;125,349998
AAPL;25-02-21;Close Price;120,989998
AAPL;26-02-21;Close Price;121,260002
AAPL;01-03-21;Close Price;127,790001
AAPL;02-03-21;Close Price;125,120003
AAPL;03-03-21;Close Price;122,059998
AAPL;04-03-21;Close Price;120,129997
AAPL;05-03-21;Close Price;121,419998
AAPL;08-03-21;Close Price;116,360001
AAPL;09-03-21;Close Price;121,089996
AAPL;10-03-21;Close Price;119,980003
AAPL;11-03-21;Close Price;121,959999
AAPL;12-03-21;Close Price;121,029999
AAPL;15-03-21;Close Price;123,989998
AAPL;16-03-21;Close Price;125,57
AAPL;17-03-21;Close Price;124,760002
AAPL;18-03-21;Close Price;120,529999
AAPL;19-03-21;Close Price;119,989998
AAPL;22-03-21;Close Price;123,389999
AAPL;23-03-21;Close Price;122,540001
AAPL;24-03-21;Close Price;120,089996
AAPL;25-03-21;Close Price;120,589996
AAPL;26-03-21;Close Price;121,209999
AAPL;29-03-21;Close Price;121,389999
AAPL;30-03-21;Close Price;119,900002
AAPL;31-03-21;Close Price;122,150002
AAPL;04-01-21;Volume;143301900
AAPL;05-01-21;Volume;97664900
AAPL;06-01-21;Volume;155088000
AAPL;07-01-21;Volume;109578200
AAPL;08-01-21;Volume;105158200
AAPL;11-01-21;Volume;100384500
AAPL;12-01-21;Volume;91951100
AAPL;13-01-21;Volume;88636800
AAPL;14-01-21;Volume;90221800
AAPL;15-01-21;Volume;111598500
AAPL;19-01-21;Volume;90757300
AAPL;20-01-21;Volume;104319500
AAPL;21-01-21;Volume;120150900
AAPL;22-01-21;Volume;114459400
AAPL;25-01-21;Volume;157611700
AAPL;26-01-21;Volume;98390600
AAPL;27-01-21;Volume;140843800
AAPL;28-01-21;Volume;142621100
AAPL;29-01-21;Volume;177523800
AAPL;01-02-21;Volume;106239800
AAPL;02-02-21;Volume;83305400
AAPL;03-02-21;Volume;89880900
AAPL;04-02-21;Volume;84183100
AAPL;05-02-21;Volume;75693800
AAPL;08-02-21;Volume;71297200
AAPL;09-02-21;Volume;76774200
AAPL;10-02-21;Volume;73046600
AAPL;11-02-21;Volume;64280000
AAPL;12-02-21;Volume;60145100
AAPL;16-02-21;Volume;80576300
AAPL;17-02-21;Volume;97918500
AAPL;18-02-21;Volume;96856700
AAPL;19-02-21;Volume;87668800
AAPL;22-02-21;Volume;103916400
AAPL;23-02-21;Volume;158273000
AAPL;24-02-21;Volume;111039900
AAPL;25-02-21;Volume;148199500
AAPL;26-02-21;Volume;164560400
AAPL;01-03-21;Volume;116307900
AAPL;02-03-21;Volume;102260900
AAPL;03-03-21;Volume;112966300
