Ticker;Date;Field Name;Value;;;;;;
AMZN;04-01-21;Close Price;3186,629883;;;;;;
AMZN;05-01-21;Close Price;3218,51001;;;;;;
AMZN;06-01-21;Close Price;3138,379883;;;;;;
AMZN;07-01-21;Close Price;3162,159912;;;;;;
AMZN;08-01-21;Close Price;3182,699951;;;;;;
AMZN;11-01-21;Close Price;3114,209961;;;;;;
AMZN;12-01-21;Close Price;3120,830078;;;;;;
AMZN;13-01-21;Close Price;3165,889893;;;;;;
AMZN;14-01-21;Close Price;3127,469971;;;;;;
AMZN;15-01-21;Close Price;3104,25;;;;;; 
AMZN;19-01-21;Close Price;3120,76001;;;;;;
AMZN;20-01-21;Close Price;3263,379883;;;;;;
AMZN;21-01-21;Close Price;3306,98999;;;;;;
AMZN;22-01-21;Close Price;3292,22998;;;;;;
AMZN;25-01-21;Close Price;3294;;;;;;
AMZN;26-01-21;Close Price;3326,129883;;;;;;
AMZN;27-01-21;Close Price;3232,580078;;;;;;
AMZN;28-01-21;Close Price;3237,620117;;;;;;
AMZN;29-01-21;Close Price;3206,199951;;;;;;
AMZN;01-02-21;Close Price;3342,879883;;;;;;
AMZN;02-02-21;Close Price;3380;;;;;;
AMZN;03-02-21;Close Price;3312,530029;;;;;;
AMZN;04-02-21;Close Price;3331;;;;;;
AMZN;05-02-21;Close Price;3352,149902;;;;;;
AMZN;08-02-21;Close Price;3322,939941;;;;;;
AMZN;09-02-21;Close Price;3305;;;;;;
AMZN;10-02-21;Close Price;3286,580078;;;;;;
AMZN;11-02-21;Close Price;3262,129883;;;;;;
AMZN;12-02-21;Close Price;3277,709961;;;;;;
AMZN;16-02-21;Close Price;3268,949951;;;;;;
AMZN;17-02-21;Close Price;3308,639893;;;;;;
AMZN;18-02-21;Close Price;3328,22998;;;;;;
AMZN;19-02-21;Close Price;3249,899902;;;;;;
AMZN;22-02-21;Close Price;3180,73999;;;;;;
AMZN;23-02-21;Close Price;3194,5;;;;;;
AMZN;24-02-21;Close Price;3159,530029;;;;;;
