Ticker;Date;Field Name;Value
JPM;04-01-21;Close Price;125,870003
JPM;05-01-21;Close Price;125,650002
JPM;06-01-21;Close Price;131,550003
JPM;07-01-21;Close Price;135,869995
JPM;08-01-21;Close Price;136,020004
JPM;11-01-21;Close Price;138,050003
JPM;12-01-21;Close Price;140,220001
JPM;13-01-21;Close Price;140,350006
JPM;14-01-21;Close Price;141,169998
JPM;15-01-21;Close Price;138,639999
JPM;19-01-21;Close Price;138,039993
JPM;20-01-21;Close Price;135,970001
JPM;21-01-21;Close Price;134,830002
JPM;22-01-21;Close Price;133,789993
JPM;25-01-21;Close Price;132,119995
JPM;26-01-21;Close Price;131,580002
JPM;27-01-21;Close Price;127,860001
JPM;28-01-21;Close Price;130,110001
JPM;29-01-21;Close Price;128,669998
JPM;01-02-21;Close Price;129,619995
JPM;02-02-21;Close Price;133,610001
JPM;03-02-21;Close Price;135,139999
JPM;04-02-21;Close Price;138,25
JPM;05-02-21;Close Price;137,979996
JPM;08-02-21;Close Price;140,139999
JPM;09-02-21;Close Price;139,580002
JPM;10-02-21;Close Price;139,660004
JPM;11-02-21;Close Price;139,270004
JPM;12-02-21;Close Price;141,25
JPM;16-02-21;Close Price;144,649994
JPM;17-02-21;Close Price;145,100006
JPM;18-02-21;Close Price;145,589996
JPM;19-02-21;Close Price;148,020004
JPM;22-02-21;Close Price;149,410004
JPM;23-02-21;Close Price;150,610001
JPM;24-02-21;Close Price;153,259995
JPM;25-02-21;Close Price;151,179993
JPM;26-02-21;Close Price;147,169998
JPM;01-03-21;Close Price;150,5
JPM;02-03-21;Close Price;150,009995
JPM;03-03-21;Close Price;152,910004
JPM;04-03-21;Close Price;150,559998
JPM;05-03-21;Close Price;150,910004
JPM;08-03-21;Close Price;152,910004
JPM;09-03-21;Close Price;151,830002
JPM;10-03-21;Close Price;155,130005
JPM;11-03-21;Close Price;154,320007
JPM;12-03-21;Close Price;156,149994
JPM;15-03-21;Close Price;155,369995
JPM;16-03-21;Close Price;153,509995
JPM;17-03-21;Close Price;155,089996
JPM;18-03-21;Close Price;157,649994
JPM;19-03-21;Close Price;155,139999
JPM;22-03-21;Close Price;150,970001
JPM;23-03-21;Close Price;149,460007
JPM;24-03-21;Close Price;150,619995
JPM;25-03-21;Close Price;152,550003
JPM;26-03-21;Close Price;155,089996
JPM;29-03-21;Close Price;152,679993
JPM;30-03-21;Close Price;154,479996
JPM;31-03-21;Close Price;152,229996
JPM;01-04-21;Close Price;153,710007
JPM;05-04-21;Close Price;153,619995
JPM;06-04-21;Close Price;152,539993
JPM;07-04-21;Close Price;154,929993
JPM;08-04-21;Close Price;155,119995
JPM;09-04-21;Close Price;156,279999
JPM;12-04-21;Close Price;155,949997
JPM;13-04-21;Close Price;154,089996
JPM;14-04-21;Close Price;151,210007
JPM;15-04-21;Close Price;152,169998
JPM;16-04-21;Close Price;153,300003
JPM;19-04-21;Close Price;152,649994
JPM;20-04-21;Close Price;149,270004
JPM;21-04-21;Close Price;150,539993
JPM;22-04-21;Close Price;147,369995
JPM;23-04-21;Close Price;150,190002
JPM;26-04-21;Close Price;150,559998
JPM;27-04-21;Close Price;151,25
JPM;28-04-21;Close Price;152,229996
JPM;29-04-21;Close Price;155,190002
JPM;30-04-21;Close Price;153,809998
JPM;04-01-21;Volume;16819900
JPM;05-01-21;Volume;13731200
JPM;06-01-21;Volume;24909100
JPM;07-01-21;Volume;21940400
JPM;08-01-21;Volume;12035100
JPM;11-01-21;Volume;15937900
JPM;12-01-21;Volume;18033500
JPM;13-01-21;Volume;14816800
JPM;14-01-21;Volume;18565600
JPM;15-01-21;Volume;27881000
JPM;19-01-21;Volume;19843800
JPM;20-01-21;Volume;16028800
JPM;21-01-21;Volume;13411700
JPM;22-01-21;Volume;12933200
JPM;25-01-21;Volume;14212800
JPM;26-01-21;Volume;11307800
JPM;27-01-21;Volume;17603900
JPM;28-01-21;Volume;13761800
JPM;29-01-21;Volume;14808100
JPM;01-02-21;Volume;11080700
JPM;02-02-21;Volume;12253600
JPM;03-02-21;Volume;10600800
JPM;04-02-21;Volume;12419500
JPM;05-02-21;Volume;10051300
JPM;08-02-21;Volume;10136400
JPM;09-02-21;Volume;8614800
JPM;10-02-21;Volume;10323200
JPM;11-02-21;Volume;9201000
JPM;12-02-21;Volume;8324600
JPM;16-02-21;Volume;12130600
JPM;17-02-21;Volume;10810100
JPM;18-02-21;Volume;10587800
JPM;19-02-21;Volume;11969800
JPM;22-02-21;Volume;11488400
JPM;23-02-21;Volume;16234400
JPM;24-02-21;Volume;15061400
JPM;25-02-21;Volume;18127700
JPM;26-02-21;Volume;19829200
JPM;01-03-21;Volume;14845500
JPM;02-03-21;Volume;14221700
JPM;03-03-21;Volume;14324100
JPM;04-03-21;Volume;20093900
JPM;05-03-21;Volume;18465100
JPM;08-03-21;Volume;17133300
JPM;09-03-21;Volume;16238800
JPM;10-03-21;Volume;14342200
JPM;11-03-21;Volume;11771500
JPM;12-03-21;Volume;12849500
JPM;15-03-21;Volume;12101100
JPM;16-03-21;Volume;12805600
JPM;17-03-21;Volume;13952400
JPM;18-03-21;Volume;21898500
JPM;19-03-21;Volume;54418800
JPM;22-03-21;Volume;19944800
JPM;23-03-21;Volume;17076300
JPM;24-03-21;Volume;13079800
JPM;25-03-21;Volume;15608300
JPM;26-03-21;Volume;16754400
JPM;29-03-21;Volume;17570300
JPM;30-03-21;Volume;13184300
JPM;31-03-21;Volume;16736700
JPM;01-04-21;Volume;16561500
JPM;05-04-21;Volume;13508000
JPM;06-04-21;Volume;13071600
JPM;07-04-21;Volume;16903500
JPM;08-04-21;Volume;12335500
JPM;09-04-21;Volume;12122400
JPM;12-04-21;Volume;12273400
JPM;13-04-21;Volume;16113600
JPM;14-04-21;Volume;19939600
JPM;15-04-21;Volume;17694100
JPM;16-04-21;Volume;13773400
JPM;19-04-21;Volume;11900200
JPM;20-04-21;Volume;13716700
JPM;21-04-21;Volume;12236700
JPM;22-04-21;Volume;15256100
JPM;23-04-21;Volume;14041900
JPM;26-04-21;Volume;10799100
JPM;27-04-21;Volume;12821200
JPM;28-04-21;Volume;8943700
JPM;29-04-21;Volume;12976900
JPM;30-04-21;Volume;11703200
