Ticker;Date;Field Name;Value
NFLX;04-01-21;Close Price;522,859985
NFLX;05-01-21;Close Price;520,799988
NFLX;06-01-21;Close Price;500,48999
NFLX;07-01-21;Close Price;508,890015
NFLX;08-01-21;Close Price;510,399994
NFLX;11-01-21;Close Price;499,100006
NFLX;12-01-21;Close Price;494,25
NFLX;13-01-21;Close Price;507,790009
NFLX;14-01-21;Close Price;500,859985
NFLX;15-01-21;Close Price;497,980011
NFLX;19-01-21;Close Price;501,769989
NFLX;20-01-21;Close Price;586,340027
NFLX;21-01-21;Close Price;579,840027
NFLX;22-01-21;Close Price;565,169983
NFLX;25-01-21;Close Price;556,780029
NFLX;26-01-21;Close Price;561,929993
NFLX;27-01-21;Close Price;523,280029
NFLX;28-01-21;Close Price;538,599976
NFLX;29-01-21;Close Price;532,390015
NFLX;01-02-21;Close Price;539,039978
NFLX;02-02-21;Close Price;548,159973
NFLX;03-02-21;Close Price;539,450012
NFLX;04-02-21;Close Price;552,159973
NFLX;05-02-21;Close Price;550,789978
NFLX;08-02-21;Close Price;547,919983
NFLX;09-02-21;Close Price;559,070007
NFLX;10-02-21;Close Price;563,590027
NFLX;11-02-21;Close Price;557,590027
NFLX;12-02-21;Close Price;556,52002
NFLX;16-02-21;Close Price;557,280029
NFLX;17-02-21;Close Price;551,340027
NFLX;18-02-21;Close Price;548,219971
NFLX;19-02-21;Close Price;540,219971
NFLX;22-02-21;Close Price;533,780029
NFLX;23-02-21;Close Price;546,150024
NFLX;24-02-21;Close Price;553,409973
NFLX;25-02-21;Close Price;546,700012
NFLX;26-02-21;Close Price;538,849976
NFLX;01-03-21;Close Price;550,640015
NFLX;02-03-21;Close Price;547,820007
NFLX;03-03-21;Close Price;520,700012
NFLX;04-03-21;Close Price;511,290009
NFLX;05-03-21;Close Price;516,390015
NFLX;08-03-21;Close Price;493,329987
NFLX;09-03-21;Close Price;506,440002
NFLX;10-03-21;Close Price;504,540009
NFLX;11-03-21;Close Price;523,059998
NFLX;12-03-21;Close Price;518,02002
NFLX;15-03-21;Close Price;520,25
NFLX;16-03-21;Close Price;524,030029
NFLX;17-03-21;Close Price;524,440002
NFLX;18-03-21;Close Price;504,790009
NFLX;19-03-21;Close Price;512,179993
NFLX;22-03-21;Close Price;523,109985
NFLX;23-03-21;Close Price;535,090027
NFLX;24-03-21;Close Price;520,809998
NFLX;25-03-21;Close Price;502,859985
NFLX;26-03-21;Close Price;508,049988
NFLX;29-03-21;Close Price;513,950012
NFLX;30-03-21;Close Price;513,390015
NFLX;31-03-21;Close Price;521,659973
NFLX;01-04-21;Close Price;539,419983
NFLX;05-04-21;Close Price;540,669983
NFLX;06-04-21;Close Price;544,530029
NFLX;07-04-21;Close Price;546,98999
NFLX;08-04-21;Close Price;554,580017
NFLX;09-04-21;Close Price;555,309998
NFLX;12-04-21;Close Price;552,780029
NFLX;13-04-21;Close Price;553,72998
NFLX;14-04-21;Close Price;540,02002
NFLX;15-04-21;Close Price;549,219971
NFLX;16-04-21;Close Price;546,539978
NFLX;19-04-21;Close Price;554,440002
NFLX;20-04-21;Close Price;549,570007
NFLX;04-01-21;Volume;4444400
NFLX;05-01-21;Volume;3133900
NFLX;06-01-21;Volume;5346200
NFLX;07-01-21;Volume;3686400
NFLX;08-01-21;Volume;2973900
NFLX;11-01-21;Volume;3806200
NFLX;12-01-21;Volume;5990400
NFLX;13-01-21;Volume;5032100
NFLX;14-01-21;Volume;4177400
NFLX;15-01-21;Volume;5895800
NFLX;19-01-21;Volume;12315800
NFLX;20-01-21;Volume;32637500
NFLX;21-01-21;Volume;11802100
NFLX;22-01-21;Volume;7550800
NFLX;25-01-21;Volume;7207300
NFLX;26-01-21;Volume;5023800
NFLX;27-01-21;Volume;8670300
NFLX;28-01-21;Volume;5969000
NFLX;29-01-21;Volume;4325300
NFLX;01-02-21;Volume;3547500
NFLX;02-02-21;Volume;3767600
NFLX;03-02-21;Volume;3172300
NFLX;04-02-21;Volume;5164500
NFLX;05-02-21;Volume;2376200
NFLX;08-02-21;Volume;2791700
NFLX;09-02-21;Volume;3703500
NFLX;10-02-21;Volume;3991300
NFLX;11-02-21;Volume;2730600
NFLX;12-02-21;Volume;2197100
NFLX;16-02-21;Volume;2624100
NFLX;17-02-21;Volume;2069600
NFLX;18-02-21;Volume;2456200
NFLX;19-02-21;Volume;2841500
NFLX;22-02-21;Volume;3078600
NFLX;23-02-21;Volume;4136500
NFLX;24-02-21;Volume;3245000
NFLX;25-02-21;Volume;4252900
NFLX;26-02-21;Volume;3755600
NFLX;01-03-21;Volume;3041400
NFLX;02-03-21;Volume;3042200
NFLX;03-03-21;Volume;5362400
NFLX;04-03-21;Volume;5034800
NFLX;05-03-21;Volume;5070000
NFLX;08-03-21;Volume;3981800
NFLX;09-03-21;Volume;3470000
NFLX;10-03-21;Volume;3771500
NFLX;11-03-21;Volume;4714500
NFLX;12-03-21;Volume;3981700
NFLX;15-03-21;Volume;3484300
NFLX;16-03-21;Volume;3238900
NFLX;17-03-21;Volume;2817400
NFLX;18-03-21;Volume;4094500
NFLX;19-03-21;Volume;4386400
NFLX;22-03-21;Volume;3360600
NFLX;23-03-21;Volume;5583500
NFLX;24-03-21;Volume;4102200
NFLX;25-03-21;Volume;4926800
NFLX;26-03-21;Volume;3467800
NFLX;29-03-21;Volume;3330000
NFLX;30-03-21;Volume;2418100
NFLX;31-03-21;Volume;3503100
NFLX;01-04-21;Volume;3938600
NFLX;05-04-21;Volume;3355900
NFLX;06-04-21;Volume;3474200
NFLX;07-04-21;Volume;2151300
NFLX;08-04-21;Volume;4309800
NFLX;09-04-21;Volume;2894000
NFLX;12-04-21;Volume;2944100
NFLX;13-04-21;Volume;2720300
NFLX;14-04-21;Volume;3740300
NFLX;15-04-21;Volume;3139100
NFLX;16-04-21;Volume;3209100
NFLX;19-04-21;Volume;4288700
NFLX;20-04-21;Volume;11257600
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
