Ticker;Date;Field Name;Value
TSLA;04-05-20;Volume;96185500
TSLA;05-05-20;Volume;84958500
TSLA;06-05-20;Volume;55616000
TSLA;07-05-20;Volume;57638500
TSLA;08-05-20;Volume;80432500
TSLA;11-05-20;Volume;82598000
TSLA;12-05-20;Volume;79534500
TSLA;13-05-20;Volume;95327500
TSLA;14-05-20;Volume;68411000
TSLA;15-05-20;Volume;52592000
TSLA;18-05-20;Volume;58329000
TSLA;19-05-20;Volume;48182500
TSLA;20-05-20;Volume;36546500
TSLA;21-05-20;Volume;61273000
TSLA;22-05-20;Volume;49937500
TSLA;26-05-20;Volume;40448500
TSLA;27-05-20;Volume;57747500
TSLA;28-05-20;Volume;36278000
TSLA;29-05-20;Volume;58822500
TSLA;01-06-20;Volume;74697500
TSLA;02-06-20;Volume;67828000
TSLA;03-06-20;Volume;39747500
TSLA;04-06-20;Volume;44438500
TSLA;05-06-20;Volume;39059500
TSLA;08-06-20;Volume;70873500
TSLA;09-06-20;Volume;56941000
TSLA;10-06-20;Volume;92817000
TSLA;11-06-20;Volume;79582500
TSLA;12-06-20;Volume;83817000
TSLA;15-06-20;Volume;78486000
TSLA;16-06-20;Volume;70255500
TSLA;17-06-20;Volume;49454000
TSLA;18-06-20;Volume;48759500
TSLA;19-06-20;Volume;43398500
TSLA;22-06-20;Volume;31812000
TSLA;23-06-20;Volume;31826500
TSLA;24-06-20;Volume;54798000
TSLA;25-06-20;Volume;46272500
TSLA;26-06-20;Volume;44274500
TSLA;29-06-20;Volume;45132000
TSLA;30-06-20;Volume;84592500
TSLA;01-07-20;Volume;66634500
TSLA;02-07-20;Volume;86250500
TSLA;06-07-20;Volume;102849500
TSLA;07-07-20;Volume;107448500
TSLA;08-07-20;Volume;81556500
TSLA;09-07-20;Volume;58588000
TSLA;10-07-20;Volume;116688000
TSLA;13-07-20;Volume;194927000
TSLA;14-07-20;Volume;117090500
TSLA;15-07-20;Volume;81839000
TSLA;16-07-20;Volume;71504000
TSLA;17-07-20;Volume;46650000
TSLA;20-07-20;Volume;85607000
TSLA;21-07-20;Volume;80536000
TSLA;22-07-20;Volume;70805500
