Ticker;Date;Field Name;Value
WORK;04-01-21;Close Price;41,990002
WORK;05-01-21;Close Price;42,009998
WORK;06-01-21;Close Price;41,790001
WORK;07-01-21;Close Price;42,119999
WORK;08-01-21;Close Price;42,349998
WORK;11-01-21;Close Price;42,07
WORK;12-01-21;Close Price;42,139999
WORK;13-01-21;Close Price;42,290001
WORK;14-01-21;Close Price;41,919998
WORK;15-01-21;Close Price;41,799999
WORK;19-01-21;Close Price;42,07
WORK;20-01-21;Close Price;42,630001
WORK;21-01-21;Close Price;42,419998
WORK;22-01-21;Close Price;42,650002
WORK;25-01-21;Close Price;42,619999
WORK;26-01-21;Close Price;42,779999
WORK;27-01-21;Close Price;42,049999
WORK;28-01-21;Close Price;42,240002
WORK;29-01-21;Close Price;42,169998
WORK;01-02-21;Close Price;42,509998
WORK;02-02-21;Close Price;42,73
WORK;03-02-21;Close Price;43,040001
WORK;04-02-21;Close Price;43,029999
WORK;05-02-21;Close Price;43,240002
WORK;08-02-21;Close Price;43,240002
WORK;09-02-21;Close Price;42,93
WORK;10-02-21;Close Price;43,060001
WORK;11-02-21;Close Price;43,57
WORK;12-02-21;Close Price;43,689999
WORK;16-02-21;Close Price;44,279999
WORK;17-02-21;Close Price;43,459999
WORK;18-02-21;Close Price;43,240002
WORK;19-02-21;Close Price;43,299999
WORK;22-02-21;Close Price;42,860001
WORK;23-02-21;Close Price;42,419998
WORK;24-02-21;Close Price;42,349998
WORK;25-02-21;Close Price;41,799999
WORK;26-02-21;Close Price;40,93
WORK;01-03-21;Close Price;41,110001
WORK;02-03-21;Close Price;40,919998
WORK;03-03-21;Close Price;40,25
WORK;04-03-21;Close Price;39,950001
WORK;05-03-21;Close Price;40,450001
WORK;08-03-21;Close Price;40,029999
WORK;09-03-21;Close Price;40,700001
WORK;10-03-21;Close Price;40,709999
WORK;11-03-21;Close Price;41,099998
WORK;12-03-21;Close Price;40,77
WORK;15-03-21;Close Price;40,650002
WORK;16-03-21;Close Price;40,790001
WORK;17-03-21;Close Price;40,68
WORK;18-03-21;Close Price;40,529999
WORK;19-03-21;Close Price;40,799999
WORK;22-03-21;Close Price;40,799999
WORK;23-03-21;Close Price;40,970001
WORK;24-03-21;Close Price;40,450001
WORK;25-03-21;Close Price;40,049999
WORK;26-03-21;Close Price;40,369999
WORK;29-03-21;Close Price;40,580002
WORK;30-03-21;Close Price;40,5
WORK;31-03-21;Close Price;40,630001
WORK;01-04-21;Close Price;41,25
WORK;05-04-21;Close Price;41,48
WORK;06-04-21;Close Price;41,41
WORK;07-04-21;Close Price;41,5
WORK;08-04-21;Close Price;41,669998
WORK;09-04-21;Close Price;42,290001
WORK;12-04-21;Close Price;41,939999
WORK;13-04-21;Close Price;42,299999
WORK;14-04-21;Close Price;41,810001
WORK;15-04-21;Close Price;42,029999
WORK;16-04-21;Close Price;42,23
WORK;19-04-21;Close Price;42,299999
WORK;20-04-21;Close Price;42,099998
WORK;21-04-21;Close Price;42,34
WORK;22-04-21;Close Price;42,41
WORK;23-04-21;Close Price;42,560001
WORK;26-04-21;Close Price;42,75
WORK;27-04-21;Close Price;42,650002
WORK;28-04-21;Close Price;42,790001
WORK;29-04-21;Close Price;42,709999
WORK;30-04-21;Close Price;42,400002
WORK;04-01-21;Volume;14711400
WORK;05-01-21;Volume;12402400
WORK;06-01-21;Volume;11635300
WORK;07-01-21;Volume;12790600
WORK;08-01-21;Volume;9466900
WORK;11-01-21;Volume;8445600
WORK;12-01-21;Volume;9904300
WORK;13-01-21;Volume;14465700
WORK;14-01-21;Volume;7271800
WORK;15-01-21;Volume;8718400
WORK;19-01-21;Volume;7311800
WORK;20-01-21;Volume;8106500
WORK;21-01-21;Volume;9040700
WORK;22-01-21;Volume;5420900
WORK;25-01-21;Volume;8454300
WORK;26-01-21;Volume;8984700
WORK;27-01-21;Volume;16218800
WORK;28-01-21;Volume;14382700
WORK;29-01-21;Volume;7960500
WORK;01-02-21;Volume;7004500
WORK;02-02-21;Volume;9113000
WORK;03-02-21;Volume;7080800
WORK;04-02-21;Volume;9281600
WORK;05-02-21;Volume;5858200
WORK;08-02-21;Volume;4565800
WORK;09-02-21;Volume;8918600
WORK;10-02-21;Volume;6436300
WORK;11-02-21;Volume;5372500
WORK;12-02-21;Volume;4797700
WORK;16-02-21;Volume;7641700
WORK;17-02-21;Volume;11533500
WORK;18-02-21;Volume;6305300
