Ticker,Date,Field Name,Value
WORK,2021-04-30,Close Price,"42,400002"
WORK,2021-04-30,Volume,5117000
JPM,2021-04-30,Close Price,"153,809998"
JPM,2021-04-30,Volume,11703200
MSFT,2021-04-30,Close Price,"252,179993"
MSFT,2021-04-30,Volume,30929200
NFLX,2021-04-20,Close Price,"549,570007"
NFLX,2021-04-20,Volume,11257600
AMZN,2021-04-09,Close Price,"3372,199951"
AMZN,2021-02-26,Volume,4273500
BNP.PA,2021-04-30,Close Price,"53,389999"
BNP.PA,,Volume,
TSLA,2021-04-22,Volume,35590300
TSLA,2021-04-05,Close Price,"691,049988"
AAPL,2021-04-30,Volume,109713200
AAPL,2021-03-31,Close Price,"122,150002"
ASC.L,,Close Price,
ASC.L,,Volume,
ZM,,Close Price,
ZM,,Volume,
