Date,Ticker,Field Name,Value
2021-05-03,WORK,Close Price,41.810001373291016
2021-05-04,WORK,Close Price,41.29999923706055
2021-05-05,WORK,Close Price,41.2400016784668
2021-05-06,WORK,Close Price,41.400001525878906
2021-05-07,WORK,Close Price,41.22999954223633
2021-05-10,WORK,Close Price,41.040000915527344
2021-05-11,WORK,Close Price,41.2400016784668
2021-05-12,WORK,Close Price,40.81999969482422
2021-05-13,WORK,Close Price,40.779998779296875
2021-05-14,WORK,Close Price,41.310001373291016
2021-05-17,WORK,Close Price,41.15999984741211
2021-05-18,WORK,Close Price,41.220001220703125
2021-05-19,WORK,Close Price,41.689998626708984
2021-05-20,WORK,Close Price,42.459999084472656
2021-05-21,WORK,Close Price,42.58000183105469
2021-05-24,WORK,Close Price,42.959999084472656
2021-05-25,WORK,Close Price,43.0099983215332
2021-05-26,WORK,Close Price,43.130001068115234
2021-05-27,WORK,Close Price,42.849998474121094
2021-05-28,WORK,Close Price,44.040000915527344
2021-06-01,WORK,Close Price,43.84000015258789
2021-06-02,WORK,Close Price,43.70000076293945
2021-06-03,WORK,Close Price,43.63999938964844
2021-06-04,WORK,Close Price,44.16999816894531
2021-06-07,WORK,Close Price,44.33000183105469
2021-06-08,WORK,Close Price,44.029998779296875
2021-06-09,WORK,Close Price,44.02000045776367
2021-06-10,WORK,Close Price,44.459999084472656
2021-06-11,WORK,Close Price,44.47999954223633
2021-06-14,WORK,Close Price,44.88999938964844
2021-06-15,WORK,Close Price,44.630001068115234
2021-06-16,WORK,Close Price,44.310001373291016
2021-06-17,WORK,Close Price,44.5
2021-06-18,WORK,Close Price,44.25
2021-06-21,WORK,Close Price,44.56999969482422
2021-06-22,WORK,Close Price,44.279998779296875
2021-06-23,WORK,Close Price,44.16999816894531
2021-06-24,WORK,Close Price,44.209999084472656
2021-06-25,WORK,Close Price,44.20000076293945
2021-06-28,WORK,Close Price,44.54999923706055
2021-06-29,WORK,Close Price,44.72999954223633
2021-06-30,WORK,Close Price,44.29999923706055
2021-07-01,WORK,Close Price,44.2400016784668
2021-07-02,WORK,Close Price,44.65999984741211
2021-07-06,WORK,Close Price,44.56999969482422
2021-07-07,WORK,Close Price,44.560001373291016
2021-07-08,WORK,Close Price,44.290000915527344
2021-07-09,WORK,Close Price,44.470001220703125
2021-07-12,WORK,Close Price,43.970001220703125
2021-07-13,WORK,Close Price,43.97999954223633
2021-07-14,WORK,Close Price,44.0
2021-07-15,WORK,Close Price,44.56999969482422
2021-07-16,WORK,Close Price,44.70000076293945
2021-07-19,WORK,Close Price,45.15999984741211
2021-07-20,WORK,Close Price,45.20000076293945
2021-07-21,WORK,Close Price,45.20000076293945
2021-05-03,WORK,Volume,41.810001373291016
2021-05-04,WORK,Volume,41.29999923706055
2021-05-05,WORK,Volume,41.2400016784668
2021-05-06,WORK,Volume,41.400001525878906
2021-05-07,WORK,Volume,41.22999954223633
2021-05-10,WORK,Volume,41.040000915527344
2021-05-11,WORK,Volume,41.2400016784668
2021-05-12,WORK,Volume,40.81999969482422
2021-05-13,WORK,Volume,40.779998779296875
2021-05-14,WORK,Volume,41.310001373291016
2021-05-17,WORK,Volume,41.15999984741211
2021-05-18,WORK,Volume,41.220001220703125
2021-05-19,WORK,Volume,41.689998626708984
2021-05-20,WORK,Volume,42.459999084472656
2021-05-21,WORK,Volume,42.58000183105469
2021-05-24,WORK,Volume,42.959999084472656
2021-05-25,WORK,Volume,43.0099983215332
2021-05-26,WORK,Volume,43.130001068115234
2021-05-27,WORK,Volume,42.849998474121094
2021-05-28,WORK,Volume,44.040000915527344
2021-06-01,WORK,Volume,43.84000015258789
2021-06-02,WORK,Volume,43.70000076293945
2021-06-03,WORK,Volume,43.63999938964844
2021-06-04,WORK,Volume,44.16999816894531
2021-06-07,WORK,Volume,44.33000183105469
2021-06-08,WORK,Volume,44.029998779296875
2021-06-09,WORK,Volume,44.02000045776367
2021-06-10,WORK,Volume,44.459999084472656
2021-06-11,WORK,Volume,44.47999954223633
2021-06-14,WORK,Volume,44.88999938964844
2021-06-15,WORK,Volume,44.630001068115234
2021-06-16,WORK,Volume,44.310001373291016
2021-06-17,WORK,Volume,44.5
2021-06-18,WORK,Volume,44.25
2021-06-21,WORK,Volume,44.56999969482422
2021-06-22,WORK,Volume,44.279998779296875
2021-06-23,WORK,Volume,44.16999816894531
2021-06-24,WORK,Volume,44.209999084472656
2021-06-25,WORK,Volume,44.20000076293945
2021-06-28,WORK,Volume,44.54999923706055
2021-06-29,WORK,Volume,44.72999954223633
2021-06-30,WORK,Volume,44.29999923706055
2021-07-01,WORK,Volume,44.2400016784668
2021-07-02,WORK,Volume,44.65999984741211
2021-07-06,WORK,Volume,44.56999969482422
2021-07-07,WORK,Volume,44.560001373291016
2021-07-08,WORK,Volume,44.290000915527344
2021-07-09,WORK,Volume,44.470001220703125
2021-07-12,WORK,Volume,43.970001220703125
2021-07-13,WORK,Volume,43.97999954223633
2021-07-14,WORK,Volume,44.0
2021-07-15,WORK,Volume,44.56999969482422
2021-07-16,WORK,Volume,44.70000076293945
2021-07-19,WORK,Volume,45.15999984741211
2021-07-20,WORK,Volume,45.20000076293945
2021-07-21,WORK,Volume,45.20000076293945
2021-05-03,JPM,Close Price,153.36000061035156
2021-05-04,JPM,Close Price,155.47999572753906
2021-05-05,JPM,Close Price,157.52000427246094
2021-05-06,JPM,Close Price,160.69000244140625
2021-05-07,JPM,Close Price,161.24000549316406
2021-05-10,JPM,Close Price,161.22000122070312
2021-05-11,JPM,Close Price,158.5399932861328
2021-05-12,JPM,Close Price,157.4499969482422
2021-05-13,JPM,Close Price,161.5
2021-05-14,JPM,Close Price,164.00999450683594
2021-05-17,JPM,Close Price,164.6699981689453
2021-05-18,JPM,Close Price,162.35000610351562
2021-05-19,JPM,Close Price,161.11000061035156
2021-05-20,JPM,Close Price,160.8300018310547
2021-05-21,JPM,Close Price,162.66000366210938
2021-05-24,JPM,Close Price,163.5399932861328
2021-05-25,JPM,Close Price,161.85000610351562
2021-05-26,JPM,Close Price,161.8300018310547
2021-05-27,JPM,Close Price,164.35000610351562
2021-05-28,JPM,Close Price,164.24000549316406
2021-06-01,JPM,Close Price,166.0500030517578
2021-06-02,JPM,Close Price,166.05999755859375
2021-06-03,JPM,Close Price,166.1699981689453
2021-06-04,JPM,Close Price,166.44000244140625
2021-06-07,JPM,Close Price,165.66000366210938
2021-06-08,JPM,Close Price,165.0
2021-06-09,JPM,Close Price,162.94000244140625
2021-06-10,JPM,Close Price,160.39999389648438
2021-06-11,JPM,Close Price,160.2899932861328
2021-06-14,JPM,Close Price,157.57000732421875
2021-06-15,JPM,Close Price,155.17999267578125
2021-06-16,JPM,Close Price,156.27000427246094
2021-06-17,JPM,Close Price,151.75999450683594
2021-06-18,JPM,Close Price,147.9199981689453
2021-06-21,JPM,Close Price,150.42999267578125
2021-06-22,JPM,Close Price,150.2100067138672
2021-06-23,JPM,Close Price,151.1199951171875
2021-06-24,JPM,Close Price,152.50999450683594
2021-06-25,JPM,Close Price,154.0500030517578
2021-06-28,JPM,Close Price,154.3300018310547
2021-06-29,JPM,Close Price,154.13999938964844
2021-06-30,JPM,Close Price,155.5399932861328
2021-07-01,JPM,Close Price,157.0800018310547
2021-07-02,JPM,Close Price,156.02999877929688
2021-07-06,JPM,Close Price,153.41000366210938
2021-07-07,JPM,Close Price,153.58999633789062
2021-07-08,JPM,Close Price,150.94000244140625
2021-07-09,JPM,Close Price,155.77000427246094
2021-07-12,JPM,Close Price,158.0
2021-07-13,JPM,Close Price,155.64999389648438
2021-07-14,JPM,Close Price,155.1199951171875
